"","KID","PPE","year"
"1",4037,NA,1997
"2",4038,NA,1997
"3",4039,NA,1997
"4",4041,NA,1997
"5",4042,NA,1997
"6",4043,NA,1997
"7",4180,NA,1997
"8",4187,2458,1997
"9",5032,3000,1997
"10",5033,NA,1997
"11",6034,6461.73,1997
"12",7039,NA,1997
"13",7040,NA,1997
"14",7041,NA,1997
"15",7044,NA,1997
"16",7045,NA,1997
"17",7046,NA,1997
"18",7047,NA,1997
"19",10033,NA,1997
"20",10034,NA,1997
"21",10035,NA,1997
"22",14030,3900,1997
"23",14031,3900,1997
"24",14032,NA,1997
"25",14033,NA,1997
"26",16033,NA,1997
"27",18038,NA,1997
"28",18039,NA,1997
"29",18040,NA,1997
"30",18041,NA,1997
"31",18187,NA,1997
"32",18189,NA,1997
"33",18191,NA,1997
"34",18192,NA,1997
"35",22030,2321,1997
"36",22031,NA,1997
"37",22176,NA,1997
"38",39031,NA,1997
"39",40035,NA,1997
"40",40038,NA,1997
"41",40039,NA,1997
"42",45032,NA,1997
"43",45033,NA,1997
"44",45034,NA,1997
"45",47034,NA,1997
"46",47035,3848,1997
"47",47036,NA,1997
"48",47037,4414,1997
"49",47038,NA,1997
"50",47039,NA,1997
"51",47040,NA,1997
"52",50032,NA,1997
"53",50033,NA,1997
"54",50034,NA,1997
"55",50035,NA,1997
"56",51031,NA,1997
"57",51032,NA,1997
"58",53035,4000,1997
"59",53036,NA,1997
"60",53038,NA,1997
"61",53040,NA,1997
"62",53041,NA,1997
"63",53042,NA,1997
"64",53205,NA,1997
"65",60036,NA,1997
"66",60037,NA,1997
"67",61032,NA,1997
"68",61034,NA,1997
"69",61035,NA,1997
"70",68030,NA,1997
"71",79032,NA,1997
"72",84033,2200,1997
"73",84034,18,1997
"74",84035,NA,1997
"75",88035,52.5,1997
"76",88036,NA,1997
"77",89034,NA,1997
"78",89035,NA,1997
"79",90030,NA,1997
"80",90031,NA,1997
"81",90032,NA,1997
"82",91031,NA,1997
"83",91032,NA,1997
"84",96031,NA,1997
"85",96032,NA,1997
"86",96033,NA,1997
"87",99032,NA,1997
"88",99033,NA,1997
"89",105035,NA,1997
"90",106031,NA,1997
"91",106032,NA,1997
"92",114033,NA,1997
"93",114034,NA,1997
"94",117031,NA,1997
"95",117032,NA,1997
"96",121030,NA,1997
"97",121032,NA,1997
"98",121033,NA,1997
"99",121036,93.56,1997
"100",121037,NA,1997
"101",122034,NA,1997
"102",122036,NA,1997
"103",122037,NA,1997
"104",122174,NA,1997
"105",126030,NA,1997
"106",128030,5400,1997
"107",128031,NA,1997
"108",129040,NA,1997
"109",129041,NA,1997
"110",129197,NA,1997
"111",134030,NA,1997
"112",134031,NA,1997
"113",138032,NA,1997
"114",138033,NA,1997
"115",145030,NA,1997
"116",145031,NA,1997
"117",151037,NA,1997
"118",151038,NA,1997
"119",165032,NA,1997
"120",166033,NA,1997
"121",172036,NA,1997
"122",172179,NA,1997
"123",172180,NA,1997
"124",173035,NA,1997
"125",173036,NA,1997
"126",173037,NA,1997
"127",173038,NA,1997
"128",173039,NA,1997
"129",173040,NA,1997
"130",174033,NA,1997
"131",174034,NA,1997
"132",174036,4923.98,1997
"133",174037,NA,1997
"134",174040,NA,1997
"135",178033,NA,1997
"136",178034,NA,1997
"137",180030,NA,1997
"138",180032,NA,1997
"139",181031,9600,1997
"140",181032,NA,1997
"141",189031,NA,1997
"142",190033,NA,1997
"143",195030,NA,1997
"144",195031,NA,1997
"145",200034,NA,1997
"146",200035,NA,1997
"147",203031,NA,1997
"148",203033,NA,1997
"149",209030,2500,1997
"150",217032,6165,1997
"151",220030,NA,1997
"152",221032,NA,1997
"153",228031,5000,1997
"154",228032,NA,1997
"155",236032,NA,1997
"156",245034,8045,1997
"157",246031,NA,1997
"158",250031,NA,1997
"159",250032,NA,1997
"160",257037,NA,1997
"161",257039,NA,1997
"162",257040,NA,1997
"163",263038,NA,1997
"164",266031,NA,1997
"165",266033,NA,1997
"166",266035,NA,1997
"167",277033,4923,1997
"168",280032,NA,1997
"169",280033,NA,1997
"170",284030,NA,1997
"171",284031,NA,1997
"172",297048,NA,1997
"173",302036,7800,1997
"174",302037,7800,1997
"175",308037,4800,1997
"176",311032,NA,1997
"177",311033,NA,1997
"178",315030,3400,1997
"179",319031,5377,1997
"180",319032,NA,1997
"181",321032,NA,1997
"182",321176,NA,1997
"183",321177,NA,1997
"184",323032,5469,1997
"185",323033,NA,1997
"186",323034,NA,1997
"187",327033,NA,1997
"188",340031,NA,1997
"189",340034,NA,1997
"190",343032,NA,1997
"191",343033,NA,1997
"192",344031,NA,1997
"193",344032,NA,1997
"194",344033,NA,1997
"195",344034,NA,1997
"196",344186,NA,1997
"197",350030,NA,1997
"198",350031,NA,1997
"199",351037,NA,1997
"200",351038,229.5,1997
"201",351039,NA,1997
"202",354031,NA,1997
"203",355031,NA,1997
"204",355032,3917,1997
"205",355033,3917,1997
"206",356031,NA,1997
"207",356032,NA,1997
"208",361176,NA,1997
"209",368032,NA,1997
"210",374030,NA,1997
"211",375030,2500,1997
"212",375031,NA,1997
"213",377030,NA,1997
"214",377031,NA,1997
"215",391031,7738,1997
"216",391032,NA,1997
"217",404033,NA,1997
"218",404035,NA,1997
"219",409033,NA,1997
"220",409177,NA,1997
"221",414038,NA,1997
"222",414039,4500,1997
"223",419033,NA,1997
"224",419034,NA,1997
"225",419035,NA,1997
"226",419036,NA,1997
"227",419037,NA,1997
"228",428030,NA,1997
"229",428032,NA,1997
"230",432032,NA,1997
"231",433031,NA,1997
"232",433034,NA,1997
"233",433037,NA,1997
"234",433038,NA,1997
"235",433040,NA,1997
"236",452037,NA,1997
"237",452038,NA,1997
"238",452178,5200,1997
"239",452187,NA,1997
"240",455032,NA,1997
"241",455033,NA,1997
"242",455034,NA,1997
"243",459031,NA,1997
"244",465033,NA,1997
"245",465034,NA,1997
"246",473035,4235,1997
"247",473036,NA,1997
"248",478038,NA,1997
"249",478039,NA,1997
"250",478040,NA,1997
"251",479030,NA,1997
"252",479031,NA,1997
"253",486030,NA,1997
"254",486031,NA,1997
"255",487035,94,1997
"256",487036,NA,1997
"257",487176,NA,1997
"258",490032,NA,1997
"259",495034,NA,1997
"260",495035,NA,1997
"261",495036,NA,1997
"262",495174,NA,1997
"263",496031,NA,1997
"264",496032,NA,1997
"265",496183,NA,1997
"266",496184,NA,1997
"267",503173,NA,1997
"268",508031,NA,1997
"269",508032,NA,1997
"270",508033,NA,1997
"271",510031,NA,1997
"272",512031,2500,1997
"273",517030,NA,1997
"274",517031,NA,1997
"275",517032,NA,1997
"276",517033,NA,1997
"277",517034,NA,1997
"278",534032,NA,1997
"279",544032,NA,1997
"280",548035,NA,1997
"281",548036,4200,1997
"282",548037,NA,1997
"283",548038,NA,1997
"284",548039,NA,1997
"285",548040,NA,1997
"286",548189,NA,1997
"287",556036,NA,1997
"288",556037,NA,1997
"289",557176,NA,1997
"290",557177,NA,1997
"291",563043,NA,1997
"292",563044,4500,1997
"293",563045,NA,1997
"294",563046,NA,1997
"295",563047,NA,1997
"296",564034,NA,1997
"297",565031,3555,1997
"298",565032,NA,1997
"299",565033,NA,1997
"300",565034,NA,1997
"301",567177,NA,1997
"302",569031,NA,1997
"303",569032,NA,1997
"304",570035,NA,1997
"305",570036,NA,1997
"306",573033,NA,1997
"307",573035,NA,1997
"308",577032,NA,1997
"309",581172,NA,1997
"310",581173,NA,1997
"311",582032,2394,1997
"312",582033,NA,1997
"313",582034,500,1997
"314",593030,NA,1997
"315",593031,NA,1997
"316",593033,NA,1997
"317",597035,400,1997
"318",597036,NA,1997
"319",597037,NA,1997
"320",602034,NA,1997
"321",602035,NA,1997
"322",605031,NA,1997
"323",607040,NA,1997
"324",607042,NA,1997
"325",608186,NA,1997
"326",610033,NA,1997
"327",613031,NA,1997
"328",620033,6548,1997
"329",620035,6548,1997
"330",620037,7500,1997
"331",620039,NA,1997
"332",624172,NA,1997
"333",624173,NA,1997
"334",625030,NA,1997
"335",625031,NA,1997
"336",625032,NA,1997
"337",626044,NA,1997
"338",626045,NA,1997
"339",626047,NA,1997
"340",626048,NA,1997
"341",626189,NA,1997
"342",628034,NA,1997
"343",630033,NA,1997
"344",631035,NA,1997
"345",632176,4934,1997
"346",632177,NA,1997
"347",633041,NA,1997
"348",633042,NA,1997
"349",634031,NA,1997
"350",634032,NA,1997
"351",634034,NA,1997
"352",636031,NA,1997
"353",636033,NA,1997
"354",639032,NA,1997
"355",644031,2290,1997
"356",647033,NA,1997
"357",647034,NA,1997
"358",649032,5125,1997
"359",649033,3600,1997
"360",649034,NA,1997
"361",650178,NA,1997
"362",652033,2700,1997
"363",652034,NA,1997
"364",652035,NA,1997
"365",652037,NA,1997
"366",654032,4500,1997
"367",654033,NA,1997
"368",655030,NA,1997
"369",655031,NA,1997
"370",656031,NA,1997
"371",656033,NA,1997
"372",656034,NA,1997
"373",656035,NA,1997
"374",664030,7100,1997
"375",664032,NA,1997
"376",664034,7384,1997
"377",664035,7140,1997
"378",672172,NA,1997
"379",672174,NA,1997
"380",673032,NA,1997
"381",673033,NA,1997
"382",673174,NA,1997
"383",674030,NA,1997
"384",674031,NA,1997
"385",677034,5642,1997
"386",677037,NA,1997
"387",686036,NA,1997
"388",687171,120,1997
"389",691030,NA,1997
"390",691031,NA,1997
"391",691032,60,1997
"392",691033,NA,1997
"393",691034,NA,1997
"394",691035,NA,1997
"395",691036,NA,1997
"396",692033,NA,1997
"397",692038,NA,1997
"398",692039,NA,1997
"399",694033,1650,1997
"400",694034,1650,1997
"401",698034,NA,1997
"402",698035,NA,1997
"403",699033,NA,1997
"404",699034,NA,1997
"405",699035,NA,1997
"406",699036,NA,1997
"407",700032,NA,1997
"408",700034,NA,1997
"409",702032,NA,1997
"410",704030,NA,1997
"411",704031,NA,1997
"412",706030,NA,1997
"413",706171,NA,1997
"414",706177,NA,1997
"415",707030,5746,1997
"416",707032,NA,1997
"417",709038,NA,1997
"418",709039,NA,1997
"419",709040,NA,1997
"420",711030,NA,1997
"421",711031,NA,1997
"422",712034,NA,1997
"423",713037,NA,1997
"424",713039,NA,1997
"425",713184,NA,1997
"426",717033,NA,1997
"427",719173,NA,1997
"428",722034,NA,1997
"429",722035,NA,1997
"430",725031,NA,1997
"431",727030,NA,1997
"432",728032,NA,1997
"433",728033,NA,1997
"434",729031,5800,1997
"435",729032,5800,1997
"436",729040,NA,1997
"437",729041,NA,1997
"438",729042,NA,1997
"439",729043,NA,1997
"440",749033,3000,1997
"441",749034,3000,1997
"442",749035,NA,1997
"443",750031,80,1997
"444",750032,NA,1997
"445",750033,NA,1997
"446",750034,NA,1997
"447",751035,NA,1997
"448",751037,NA,1997
"449",751038,NA,1997
"450",751039,NA,1997
"451",759031,5600,1997
"452",760030,NA,1997
"453",760172,4793,1997
"454",760173,NA,1997
"455",760176,NA,1997
"456",762031,1900,1997
"457",762174,NA,1997
"458",762175,NA,1997
"459",769033,3746,1997
"460",769035,NA,1997
"461",769036,3400,1997
"462",769037,3400,1997
"463",769038,NA,1997
"464",769039,NA,1997
"465",771031,3500,1997
"466",771032,3500,1997
"467",773036,3600,1997
"468",773037,NA,1997
"469",774031,NA,1997
"470",774032,NA,1997
"471",775031,NA,1997
"472",776030,7000,1997
"473",777031,NA,1997
"474",779038,NA,1997
"475",782171,NA,1997
"476",783031,NA,1997
"477",783032,NA,1997
"478",794030,NA,1997
"479",794031,NA,1997
"480",796032,NA,1997
"481",796033,NA,1997
"482",796034,6000,1997
"483",814032,NA,1997
"484",817032,NA,1997
"485",818030,NA,1997
"486",818032,NA,1997
"487",819032,NA,1997
"488",819033,NA,1997
"489",819034,NA,1997
"490",821031,6750,1997
"491",823033,NA,1997
"492",826032,NA,1997
"493",833035,NA,1997
"494",833036,NA,1997
"495",833180,4400,1997
"496",833181,4400,1997
"497",834034,NA,1997
"498",834035,NA,1997
"499",835030,5778,1997
"500",835031,NA,1997
"501",838030,NA,1997
"502",838031,NA,1997
"503",840041,NA,1997
"504",840042,NA,1997
"505",840043,NA,1997
"506",840044,NA,1997
"507",840191,NA,1997
"508",844032,NA,1997
"509",844033,NA,1997
"510",844034,NA,1997
"511",846030,NA,1997
"512",846040,3830,1997
"513",846043,NA,1997
"514",846044,NA,1997
"515",846045,NA,1997
"516",853030,NA,1997
"517",856033,NA,1997
"518",856034,4717,1997
"519",856035,NA,1997
"520",856036,4717,1997
"521",856038,NA,1997
"522",857030,NA,1997
"523",857031,NA,1997
"524",863032,NA,1997
"525",863033,NA,1997
"526",863034,7419,1997
"527",863035,NA,1997
"528",866032,NA,1997
"529",866033,NA,1997
"530",868031,NA,1997
"531",868034,NA,1997
"532",868036,NA,1997
"533",868037,NA,1997
"534",875035,NA,1997
"535",875036,NA,1997
"536",880030,4300,1997
"537",880031,4200,1997
"538",880033,NA,1997
"539",891031,NA,1997
"540",891032,NA,1997
"541",893031,NA,1997
"542",893032,NA,1997
"543",897034,NA,1997
"544",897035,NA,1997
"545",898033,NA,1997
"546",898034,NA,1997
"547",898035,NA,1997
"548",899032,NA,1997
"549",899033,NA,1997
"550",908036,NA,1997
"551",908037,NA,1997
"552",909032,NA,1997
"553",910036,NA,1997
"554",913031,2600,1997
"555",915030,NA,1997
"556",915031,NA,1997
"557",915032,NA,1997
"558",915033,650,1997
"559",915034,NA,1997
"560",915035,650,1997
"561",916036,NA,1997
"562",916184,NA,1997
"563",916190,NA,1997
"564",916191,NA,1997
"565",920030,NA,1997
"566",920031,NA,1997
"567",922031,7138,1997
"568",922032,NA,1997
"569",922033,NA,1997
"570",922034,NA,1997
"571",922035,NA,1997
"572",922036,NA,1997
"573",931032,NA,1997
"574",931033,NA,1997
"575",935030,NA,1997
"576",935031,NA,1997
"577",935032,NA,1997
"578",935034,NA,1997
"579",939033,NA,1997
"580",941034,4800,1997
"581",941037,NA,1997
"582",941038,NA,1997
"583",941039,NA,1997
"584",941184,NA,1997
"585",941187,NA,1997
"586",946030,NA,1997
"587",952032,NA,1997
"588",961034,NA,1997
"589",961035,NA,1997
"590",961036,NA,1997
"591",961037,NA,1997
"592",961038,NA,1997
"593",964032,NA,1997
"594",964035,NA,1997
"595",970032,NA,1997
"596",970033,NA,1997
"597",971030,NA,1997
"598",976033,NA,1997
"599",980030,NA,1997
"600",980031,NA,1997
"601",982032,NA,1997
"602",998032,NA,1997
"603",998033,NA,1997
"604",999031,NA,1997
"605",999032,5330,1997
"606",999033,NA,1997
"607",999034,NA,1997
"608",1000031,NA,1997
"609",1000032,NA,1997
"610",1000033,4428,1997
"611",1000034,2615,1997
"612",1000035,2615,1997
"613",1013031,NA,1997
"614",1013032,NA,1997
"615",1013033,NA,1997
"616",1014032,NA,1997
"617",1028039,NA,1997
"618",1028040,NA,1997
"619",1033031,NA,1997
"620",1036031,NA,1997
"621",1037036,NA,1997
"622",1037037,NA,1997
"623",1038032,NA,1997
"624",1038033,NA,1997
"625",1043033,NA,1997
"626",1043034,NA,1997
"627",1043035,NA,1997
"628",1043036,NA,1997
"629",1043037,NA,1997
"630",1043038,NA,1997
"631",1043181,NA,1997
"632",1045031,NA,1997
"633",1047032,4267,1997
"634",1048034,NA,1997
"635",1048037,2500,1997
"636",1048038,NA,1997
"637",1048039,NA,1997
"638",1048182,NA,1997
"639",1048184,3600,1997
"640",1048185,NA,1997
"641",1048194,NA,1997
"642",1048195,NA,1997
"643",1051042,NA,1997
"644",1051044,NA,1997
"645",1051045,NA,1997
"646",1055030,NA,1997
"647",1055032,NA,1997
"648",1060032,NA,1997
"649",1061030,NA,1997
"650",1061032,NA,1997
"651",1062031,NA,1997
"652",1066032,NA,1997
"653",1066033,NA,1997
"654",1066034,NA,1997
"655",1066035,NA,1997
"656",1068032,NA,1997
"657",1072031,NA,1997
"658",1072032,NA,1997
"659",1077031,NA,1997
"660",1077032,NA,1997
"661",1084032,NA,1997
"662",1084033,NA,1997
"663",1084035,NA,1997
"664",1088037,NA,1997
"665",1088038,NA,1997
"666",1090032,NA,1997
"667",1090173,3862,1997
"668",1092032,4354.88,1997
"669",1092033,NA,1997
"670",1092034,NA,1997
"671",1092035,NA,1997
"672",1093031,NA,1997
"673",1093032,1200,1997
"674",1093033,NA,1997
"675",1093034,NA,1997
"676",1096033,NA,1997
"677",1098032,NA,1997
"678",1098033,NA,1997
"679",1100031,NA,1997
"680",1100032,NA,1997
"681",1100034,NA,1997
"682",1107034,NA,1997
"683",1107035,NA,1997
"684",1109030,NA,1997
"685",1121031,NA,1997
"686",1121033,NA,1997
"687",1121034,NA,1997
"688",1125031,NA,1997
"689",1125032,NA,1997
"690",1126035,NA,1997
"691",1126036,NA,1997
"692",1127030,NA,1997
"693",1129039,NA,1997
"694",1129187,NA,1997
"695",1129189,5642,1997
"696",1129197,NA,1997
"697",1131032,NA,1997
"698",1131034,NA,1997
"699",1141034,NA,1997
"700",1141035,NA,1997
"701",1141036,NA,1997
"702",1141037,NA,1997
"703",1141175,NA,1997
"704",1141179,NA,1997
"705",1142031,NA,1997
"706",1142032,NA,1997
"707",1142033,NA,1997
"708",1142034,NA,1997
"709",1144036,NA,1997
"710",1144037,NA,1997
"711",1149030,NA,1997
"712",1150171,7400,1997
"713",1150172,6200,1997
"714",1151034,4000,1997
"715",1151036,NA,1997
"716",1151037,NA,1997
"717",1151038,NA,1997
"718",1151039,NA,1997
"719",1152038,NA,1997
"720",1154030,NA,1997
"721",1161030,NA,1997
"722",1163036,4394,1997
"723",1163037,NA,1997
"724",1163038,NA,1997
"725",1163039,NA,1997
"726",1163040,5900,1997
"727",1163041,5900,1997
"728",1163042,4000,1997
"729",1163043,NA,1997
"730",1163045,NA,1997
"731",1164033,4442,1997
"732",1166037,NA,1997
"733",1167041,NA,1997
"734",1167042,NA,1997
"735",1167043,NA,1997
"736",1167044,2000,1997
"737",1167045,NA,1997
"738",1167046,NA,1997
"739",1168035,NA,1997
"740",1168036,NA,1997
"741",1168037,NA,1997
"742",1168174,NA,1997
"743",1168175,NA,1997
"744",1169030,NA,1997
"745",1169031,NA,1997
"746",1178176,NA,1997
"747",1178177,NA,1997
"748",1179033,NA,1997
"749",1184039,NA,1997
"750",1184040,NA,1997
"751",1184041,NA,1997
"752",1184043,NA,1997
"753",1185032,NA,1997
"754",1185034,NA,1997
"755",1192033,NA,1997
"756",1192034,NA,1997
"757",1192035,4407.39,1997
"758",1200034,NA,1997
"759",1210031,NA,1997
"760",1213031,NA,1997
"761",1220030,NA,1997
"762",1220031,NA,1997
"763",1221031,NA,1997
"764",1221032,NA,1997
"765",1221033,2322,1997
"766",1221034,NA,1997
"767",1221035,NA,1997
"768",1221036,NA,1997
"769",1222034,7074,1997
"770",1222035,3500,1997
"771",1222185,5470,1997
"772",1222189,NA,1997
"773",1225031,133,1997
"774",1227034,NA,1997
"775",1227035,NA,1997
"776",1227195,NA,1997
"777",1230031,NA,1997
"778",1233034,NA,1997
"779",1233035,NA,1997
"780",1236031,NA,1997
"781",1236032,NA,1997
"782",1241035,NA,1997
"783",1242032,NA,1997
"784",1242033,NA,1997
"785",1242034,4476,1997
"786",1242035,2800,1997
"787",1242036,NA,1997
"788",1242038,NA,1997
"789",1242039,NA,1997
"790",1254030,NA,1997
"791",1258030,NA,1997
"792",1258031,NA,1997
"793",1258032,NA,1997
"794",1258033,NA,1997
"795",1258034,NA,1997
"796",1260043,NA,1997
"797",1266030,NA,1997
"798",1266031,NA,1997
"799",1269033,NA,1997
"800",1274032,NA,1997
"801",1274033,5683,1997
"802",1281034,NA,1997
"803",1281035,NA,1997
"804",1281036,NA,1997
"805",1284031,NA,1997
"806",1284032,NA,1997
"807",1285030,NA,1997
"808",1285031,NA,1997
"809",1285032,NA,1997
"810",1285033,NA,1997
"811",1286032,NA,1997
"812",1286033,NA,1997
"813",1286175,NA,1997
"814",1290034,NA,1997
"815",1290035,NA,1997
"816",1292032,4000,1997
"817",1298031,NA,1997
"818",1298032,NA,1997
"819",1298033,NA,1997
"820",1302037,3281,1997
"821",1303032,NA,1997
"822",1303033,NA,1997
"823",1306031,NA,1997
"824",1315032,5200,1997
"825",1315033,5200,1997
"826",1315034,NA,1997
"827",1315035,NA,1997
"828",1315036,NA,1997
"829",1315039,NA,1997
"830",1332030,NA,1997
"831",1332032,NA,1997
"832",1332033,NA,1997
"833",1332181,NA,1997
"834",1335047,3826.25,1997
"835",1335048,5350,1997
"836",1335052,NA,1997
"837",1335053,NA,1997
"838",1335054,NA,1997
"839",1335056,NA,1997
"840",1336033,NA,1997
"841",1336034,NA,1997
"842",1336035,NA,1997
"843",1342031,4200,1997
"844",1345034,NA,1997
"845",1345035,3500,1997
"846",1351035,NA,1997
"847",1351036,NA,1997
"848",1355174,2000,1997
"849",1363031,NA,1997
"850",1368032,NA,1997
"851",1368175,NA,1997
"852",1368180,NA,1997
"853",1376032,NA,1997
"854",1383035,4000,1997
"855",1383036,4000,1997
"856",1383037,NA,1997
"857",1383040,NA,1997
"858",1394035,NA,1997
"859",1394036,NA,1997
"860",1394037,NA,1997
"861",1394038,NA,1997
"862",1394039,NA,1997
"863",1397033,NA,1997
"864",1397034,5300,1997
"865",1397037,NA,1997
"866",1397038,NA,1997
"867",1398030,5943,1997
"868",1399035,5400,1997
"869",1399036,NA,1997
"870",1399037,NA,1997
"871",1399038,NA,1997
"872",1399039,NA,1997
"873",1399040,NA,1997
"874",1407032,NA,1997
"875",1411039,NA,1997
"876",1411043,NA,1997
"877",1411044,NA,1997
"878",1411045,NA,1997
"879",1411185,NA,1997
"880",1411186,NA,1997
"881",1411190,NA,1997
"882",1415031,20,1997
"883",1426034,NA,1997
"884",1426036,NA,1997
"885",1426038,NA,1997
"886",1426040,NA,1997
"887",1430030,NA,1997
"888",1430031,NA,1997
"889",1431030,4937,1997
"890",1432031,NA,1997
"891",1434035,NA,1997
"892",1445035,NA,1997
"893",1445037,NA,1997
"894",1460030,NA,1997
"895",1468033,NA,1997
"896",1468034,NA,1997
"897",1468035,NA,1997
"898",1473032,7400,1997
"899",1475031,NA,1997
"900",1475032,NA,1997
"901",1480033,NA,1997
"902",1480034,NA,1997
"903",1485033,NA,1997
"904",1485034,NA,1997
"905",1494031,NA,1997
"906",1494032,300,1997
"907",1498032,NA,1997
"908",1498034,NA,1997
"909",1498035,NA,1997
"910",1498037,NA,1997
"911",1498178,NA,1997
"912",1503170,NA,1997
"913",1505030,NA,1997
"914",1516030,NA,1997
"915",1516031,NA,1997
"916",1516033,NA,1997
"917",1516172,NA,1997
"918",1522035,NA,1997
"919",1522036,5367,1997
"920",1522037,NA,1997
"921",1522038,NA,1997
"922",1522040,NA,1997
"923",1522041,NA,1997
"924",1522042,NA,1997
"925",1522043,NA,1997
"926",1523031,NA,1997
"927",1533032,NA,1997
"928",1533033,NA,1997
"929",1533034,NA,1997
"930",1537172,5324,1997
"931",1540178,NA,1997
"932",1541036,NA,1997
"933",1541037,8500,1997
"934",1541038,NA,1997
"935",1542031,NA,1997
"936",1542033,NA,1997
"937",1542034,NA,1997
"938",1542035,3700,1997
"939",1542036,NA,1997
"940",1542037,5700,1997
"941",1542039,NA,1997
"942",1542040,NA,1997
"943",1547031,NA,1997
"944",1547032,NA,1997
